Pregunta,Opción Correcta,Opción Incorrecta 1,Opción Incorrecta 2,Opción Incorrecta 3,Contexto
"Dentro de un SIG, una capa vectorial puede contener más de un tipo de primitiva.",Verdadero,Falso,,,
Una 'proyección' depende de la siguiente serie de factores:,Lo sé,No lo sé,,,"La elección de una proyección dependerá principalmente de la extensión del área a representar, de la posición sobre la superficie terrestre y de la finalidad del mapa a elaborar."
"En El Salvador, se utiliza la siguiente proyección, asociada al elipsoide Clarke 1866.",Proyección Cónica Conforme Lambert,Proyección Conforme Lambert,Proyección Lambert Cónica Conforme,Proyección Lambert Cónica,
Ud. escogería el cilindro como superficie de proyección debido a la facilidad de desarrollarse como superficie geográfica.,Falso,Verdadero,,,
La Proyección equivalente conserva las superficies en el mapa,Verdadero,Falso,,,
"Materia prima necesaria para el trabajo en un SIG, y los que contienen la información geográfica vital para la propia existencia de los SIG.",datos,software,mapas,hardware,
"Estudia el campo gravitatorio de la Tierra, partiendo de mediciones y el modelado del mismo.",Geodesia Física,Proyecciones Cartográficas,Generalización Cartográfica,Cartografía Matemática,
"Determinó el tamaño de la Tierra, midió y empleó un método trigonométrico.",Eratóstenes,Geodesia Física,Proyecciones Cartográficas,Cartografía Matemática,
Permite representar un dato geográfico a un tamaño mayor de lo que le corresponde.,Generalización Cartográfica,Eratóstenes,Geodesia Física,Proyecciones Cartográficas,
Permiten transformar las coordenadas sobre la superficie curva de la Tierra en coordenadas sobre una superficie plana.,Proyecciones Cartográficas,Generalización Cartográfica,Eratóstenes,Cartografía Matemática,
Es la ciencia que estudia las diferentes formas de representar la superficie de la Tierra sobre una superficie plana.,Cartografía Matemática,Generalización Cartográfica,Geodesia Física,Proyecciones Cartográficas,
"Asumiendo que los usuarios finales necesitan obtener toda la información en un solo paso, podemos decir que la mejor solución será un modelo de datos ráster.",Verdadero,Falso,,,
Operación de generalización que trata de crear elementos más sencillos que sean más fáciles y rápidos de representar.,Simplificación,Suavizado,Agrupación,Exageración,
Es la componente de la información geográfica que generalmente se recoge haciéndola fija.,Temporal,Temática Alfanumérica,Espacial,Temática,
Es la Leyenda Ráster donde las celdas representan objetos diferenciados solo por sus nombres.,ESCALA NOMINAL,ESCALA DE INTERVALO,ESCALA DE RAZON,ESCALA ORDINAL,
"En un SIG la topología aporta beneficio a la hora de representar una capa, pues permite llevar a cabo análisis sobre ella.",Falso,Verdadero,,,
Subsistema que crea representaciones a partir de los datos permitiendo así la interacción con ellos.,Visualización,Análisis,Gestión de Datos,Hardware y Software,
"La componente temática puede ser del siguiente tipo, el cual señala que las diferencias entre valores de la variable tienen un significado.",Intervalos,Razones,Ordinal,Nominal,
Técnica utilizada en los sistemas de información geográfica.,teledetección,Planificación,gestión de riesgos,geo-Marketing,
¿Qué originó la Geodesia?,Las múltiples formas que tenían los científicos de ver la tierra,Por que se necesita conocer cómo era la forma de la tierra,La división de la tierra,,
"Conectividad, Intersección, Dirección",Relaciones Espaciales,Platón,Suavizado,AM/FM,
"Propuso un sistema geocéntrico, en el cual la Tierra redunda se encontraba inmóvil en el centro, a su alrededor giraban los planetas.",Platón,Relaciones Espaciales,Suavizado,AM/FM,
Sustituye formas angulosas por otras de menor complejidad.,Suavizado,Relaciones Espaciales,Platón,AM/FM,
Solución tecnológica conocida por su relación directa con el ámbito SIG.,AM/FM,Relaciones Espaciales,Platón,Suavizado,
Muchas veces el proceso de conversión de diferentes fuentes de información se realiza con pérdidas de diferente consideración.,Debido a los formatos,Relaciones Espaciales,Platón,Suavizado,
"expresar alguna idea o información de forma más resumida, de tal modo que sea comprensible y pueda aprovecharse de la mejor manera posible.",Generalización,Geoid,Simplificación,Geodesia,
Se define como la superficie tridimensional en cuyos puntos la atracción gravitatoria es constante. Se trata de una superficie equipotencial.,Geoide,Generalización,Simplificación,Geodesia,
"producir una imagen cartográfica legible y expresa, reduciendo el contenido del mapa a aquello que sea posible y necesario representar.",Generalización,Simplificación,Geoid,Geodesia,
"Es la ciencia que estudia la determinación de la forma, dimensiones exactas y campo gravitatorio de la tierra, y la localización precisa de puntos sobre la superficie terrestre.",Geodesia,Generalización,Geoid,Simplificación,
Están asociadas a una época específica de referencia y su variación con el tiempo es tomada en cuenta.,coordenadas SIRGAS,Generalización,Geoid,Simplificación,
"Tratan de situar los elementos de la superficie del elipsoide sobre una superficie plana, y que son los que se emplean para la creación de cartografía.",proyecciones cartográficas,sistema de coordenadas,coordenadas geográficas,localización,
La Escala tiene una relación directa con la visualización.,Verdadero,Falso,,,
Modelo conceptual de la realidad geográfica y su comportamiento.,Modelo geográfico,Modelo de representación,Modelo de almacenamiento,Modelo de bajo nivel,
Componente de la información geográfica que responde a la pregunta '¿qué?',Temática,Temporal,Alfanumérica,Espacial,
¿Qué es un elipsoide de referencia?,Un modelo de elipsoide utilizado en geodesia,Uno que tiene exactamente las mismas coordenadas de la tierra,El que tiene sus ejes de la misma magnitud,,
Proyección que conserva los ángulos medidos en la superficie y en el mapa,conforme,cónica,equivalente,azimutal,
Una generalización por completo automatizada nos garantiza un resultado óptimo,Falso,Verdadero,,,
"En el lenguaje de trabajo con SIG, 'la capa' define una división vertical y una horizontal",Verdadero,Falso,,,
¿Cuál es la característica principal de la información georreferenciada?,Lo sé,No lo sé,,,"Siempre está asociada a una localización específica en el espacio, es decir, posee una componente espacial."
Al momento de trabajar con un GIS la operación 'Agregación' tiene efectos beneficiosos sobre el propio manejo de los datos.,Verdadero,Falso,,,
¿Qué es o en qué consiste la Escala?,Lo sé,No lo sé,,,"La escala relaciona el tamaño que tiene un objeto en la representación con su tamaño real, y la forma en que se recoge la información al medirlo depende de dicha escala."
Un mapa permite abstraer y representar el mundo real como un conjunto de estratos temáticos,Falso,Verdadero,,,
"La separación de la información en 'capas' nos genera redundancia de datos, ya que cada capa contiene un tipo de información concreto",Falso,Verdadero,,,
"Es uno de los aspectos a los cuales puede referirse para comparar los modelos Ráster y Vectorial, el cual trata sobre la regularidad y sistematicidad de las mallas ráster hacen sencillo el implementar algoritmos de análisis.",Complejidad,Volumen de almacenamiento,Planteamiento,Precisión,
WGS84 es uno de los Elipsoides de referencia más utilizados actualmente,Verdadero,Falso,,,
Conjunto formado por una superficie de referencia y un punto en el que 'enlazar' éste al geoide,Datum,SIRGAS,punto fundamental,el elipsoide,
"Un GIS para el MINSAL permite obtener información detallada... En base a lo anterior, podríamos decir que se trata de un GIS donde han implementado el modelo de datos ráster.",Falso,Verdadero,,,
Es más práctico trabajar la forma de la Tierra como si fuera un Globoide.,Falso,Verdadero,,,
El modelo retícula se centra en la precisión de la localización más que en las propiedades del espacio.,Falso,Verdadero,,,
El sistema de coordenadas geográficas no es un sistema de coordenadas esféricas.,Falso,Verdadero,,,
¿Por qué no se emplea un mismo elipsoide en todos los lugares y en todas las circunstancias?,Lo sé,No lo sé,,,La Tierra no es perfectamente regular y su campo gravitatorio varía según la región; un único elipsoide global generaría distorsiones. Por ello existen varios elipsoides locales o regionales que permiten mayor precisión geodésica y cartográfica.
¿Cuáles son los principales tipos de Proyecciones Cartográficas?,Lo sé,No lo sé,,,"Cónicas, cilíndrica y azimutales"
Modelo donde el interés de las representaciones se centra en la precisión de la localización de los elementos geográficos...,Modelo Vectorial,Red de Triángulos Irregulares,Malla de celdas regulares,Modelo Ráster,
El Elipsoide es adecuado cuando lo que deseamos medir son altitudes,Falso,Verdadero,,,
FUSIL 2,,,,,
